trade_id,timestamp,direction,offset,fee_target,fee_actually,slippage,commission,pr_quote,pr_price,pr_volume,ta_quote,ta_price,ta_volume,eg_quote,eg_price,eg_volume,flag,pr_left,ta_left,eg_left,profit,marked_trade_id

a1,2025-05-07 09:16:01.493098,SELL,OPEN,457.54,457.54,0.0,103.52,5748,5748.0,10,4508,4508.0,25,4260,4260.0,5,1,2,5,1,15092,1035+3620+3865+7607-1035=15092
b1,2025-05-07 09:17:20.863795,SELL,OPEN,460.3,460.3,0.0,20.7,5760,5760.0,2,4518,4518.0,5,4262,4262.0,1,1,0,0,0,73,
c1,2025-05-07 10:13:58.201333,SELL,OPEN,471.7,471.7,0.0,20.7,5710,5710.0,2,4462,4462.0,5,4222,4222.0,1,1,0,0,0,226,
7d6b9796-37e8-4883-b790-25a328a26159,2025-05-08 14:45:12.402360,BUY,CLOSE,447.93,447.93,0.0,20.73,5752,5752.0,2,4536,4536.0,5,4229,4229.0,1,1,0,0,0,73,
bec338b3-42d5-4058-8f2b-012b0dae38ce,2025-05-08 11:16:08.299318,BUY,CLOSE,459.9,459.9,0.0,20.73,5750,5750.0,2,4524,4524.0,5,4218,4218.0,1,1,0,0,0,226,
3eff7e28-68d6-4065-a461-e4754b6d3705,2025-05-09 09:32:39.123493,BUY,CLOSE,437.24,439.29,2.05,20.73,5764,5764.0,2,4566,4564.0,5,4220,4219.0,1,1,0,0,0,1035,
b4beb138-c973-4191-b6e9-0464e8e359d9,2025-05-09 10:45:34.664725,SELL,OPEN,452.11,450.06,2.05,20.73,5782,5782.0,2,4572,4574.0,5,4214,4215.0,1,1,0,0,0,-14,
b6eaa16f-398f-412b-a13a-33ea7bf4ec72,2025-05-09 13:53:53.805735,BUY,CLOSE,437.92,439.97,2.05,20.73,5762,5762.0,2,4566,4564.0,5,4212,4211.0,1,1,0,0,0,-14,
11435db7-ca89-4235-8710-daaa738c565b,2025-05-13 10:08:20.558425,BUY,CLOSE,417.87,419.92,2.05,20.77,5898,5898.0,2,4700,4698.0,5,4335,4334.0,1,1,0,0,0,3620,
