timestamp,pr_long,pr_short,ta_long,ta_short,eg_long,eg_short,layer
2025-05-07 09:16:01.493878,0,10,0,0,0,0,3.5
2025-05-07 09:16:01.547207,0,10,25,0,0,0,3.5
2025-05-07 09:16:01.669761,0,10,25,0,5,0,3.5
2025-05-07 09:17:20.864348,0,12,25,0,5,0,9
2025-05-07 09:17:21.353191,0,12,30,0,5,0,9
2025-05-07 09:17:21.452829,0,12,30,0,6,0,9
2025-05-07 10:13:58.202320,0,14,30,0,6,0,10
2025-05-07 10:13:58.229111,0,14,35,0,6,0,10
2025-05-07 10:13:58.385161,0,14,35,0,7,0,10
2025-05-08 11:16:08.300069,0,12,35,0,7,0,9
2025-05-08 11:16:08.329822,0,12,30,0,7,0,9
2025-05-08 11:16:08.450017,0,12,30,0,6,0,9
2025-05-08 14:45:12.404135,0,10,30,0,6,0,8
2025-05-08 14:45:12.466340,0,10,25,0,6,0,8
2025-05-08 14:45:12.535814,0,10,25,0,5,0,8
2025-05-09 09:32:39.124093,0,8,25,0,5,0,7
2025-05-09 09:32:39.147674,0,8,20,0,5,0,7
2025-05-09 09:32:39.210435,0,8,20,0,4,0,7
2025-05-09 10:45:34.665761,0,10,20,0,4,0,9
2025-05-09 10:45:34.729807,0,10,25,0,4,0,9
2025-05-09 10:45:34.781909,0,10,25,0,5,0,9
2025-05-09 13:53:53.806854,0,8,25,0,5,0,7
2025-05-09 13:53:53.842901,0,8,20,0,5,0,7
2025-05-09 13:53:53.931015,0,8,20,0,4,0,7
2025-05-13 09:06:46.187576,0,6,20,0,4,0,6
2025-05-13 09:06:46.269347,0,6,15,0,4,0,6
2025-05-13 09:06:46.317142,0,6,15,0,3,0,6
2025-05-13 10:08:20.558946,0,4,15,0,3,0,5
2025-05-13 10:08:20.590245,0,4,10,0,3,0,5
2025-05-13 10:08:20.646582,0,4,10,0,2,0,5
2025-05-13 10:51:05.050356,0,6,10,0,2,0,7
2025-05-13 10:51:05.079037,0,6,15,0,2,0,7
2025-05-13 10:51:05.195615,0,6,15,0,3,0,7
2025-05-14 09:22:33.303320,0,2,15,0,3,0,4
2025-05-14 09:22:33.342104,0,2,5,0,3,0,4
2025-05-14 09:22:33.379863,0,2,5,0,1,0,4
2025-05-14 10:56:58.310338,0,4,5,0,1,0,6
2025-05-14 10:56:58.345003,0,4,10,0,1,0,6
2025-05-14 10:56:58.422359,0,4,10,0,2,0,6
2025-05-14 13:43:12.866687,0,2,10,0,2,0,4
2025-05-14 13:43:12.894830,0,2,5,0,2,0,4
2025-05-14 13:43:12.975222,0,2,5,0,1,0,4
2025-05-14 14:58:31.416026,0,4,5,0,1,0,6
2025-05-14 14:58:31.461346,0,4,10,0,1,0,6
2025-05-14 14:58:31.522734,0,4,10,0,2,0,6
2025-05-15 09:00:00.523829,0,2,10,0,2,0,4
2025-05-15 09:00:00.563074,0,2,5,0,2,0,4
2025-05-15 09:00:00.632284,0,2,5,0,1,0,4
2025-05-15 09:00:00.713920,0,6,5,0,1,0,7
2025-05-15 09:00:00.818340,0,6,15,0,1,0,7
2025-05-15 09:00:00.849029,0,6,15,0,3,0,7
2025-05-15 09:00:13.495385,0,8,15,0,3,0,8
2025-05-15 09:00:13.531756,0,8,20,0,3,0,8
2025-05-15 09:00:13.599221,0,8,20,0,4,0,8
2025-05-15 09:11:31.490125,0,6,20,0,4,0,6
