date,high,low
2024-08-30,405.89,253.74
2024-09-02,399.79,306.89
2024-08-30,405.89,253.74
2024-09-02,399.79,306.90
2024-09-03,397.03,293.18
2024-09-04,394.81,290.01
2024-09-05,401.68,327.96
2024-09-06,443.91,290.21
2024-09-09,393.40,320.26
2024-09-10,380.83,255.22
2024-09-11,503.19,224.05
2024-09-12,424.64,312.83
2024-09-13,437.88,337.72
2024-09-18,430.93,319.50
2024-09-19,443.26,334.89
2024-09-20,431.93,352.84
2024-09-23,427.77,351.64
2024-09-24,462.17,363.14
2024-09-25,500.91,395.29
2024-09-26,473.29,369.58
2024-09-27,486.13,408.42
2024-09-30,525.26,396.36
2024-10-08,530.10,351.93
2024-10-09,439.41,351.17
2024-10-10,419.56,343.43
2024-10-11,406.16,350.97
2024-10-14,420.95,347.88
2024-10-15,424.40,367.37
2024-10-16,421.89,377.31
2024-10-17,419.85,377.19
2024-10-18,421.12,374.75
2024-10-21,409.78,355.11
2024-10-22,434.94,384.65
2024-10-23,429.66,384.23
2024-10-24,428.50,382.78
2024-10-25,432.10,383.85
2024-10-28,434.48,387.33
2024-10-29,443.30,388.31
2024-10-30,434.35,403.59
2024-10-31,434.48,398.36
2024-11-01,432.67,398.36
2024-11-04,437.48,397.32
2024-11-05,417.31,380.27
2024-11-06,421.58,378.12
2024-11-07,434.52,380.88
2024-11-08,420.68,373.44
2024-11-11,434.49,390.86
2024-11-12,437.23,397.19
2024-11-13,433.75,404.67
2024-11-14,444.28,395.53
2024-11-15,459.52,417.27
2024-11-18,449.61,411.47
2024-11-19,447.79,418.54
2024-11-20,443.97,412.68
2024-11-21,448.56,419.88
2024-11-22,449.99,409.71
2024-11-25,459.20,414.25
2024-11-26,455.18,430.72
2024-11-27,446.39,421.86
2024-11-28,456.53,420.64
2024-11-29,455.39,420.34
2024-12-02,456.06,423.23
2024-12-03,453.86,428.07
2024-12-04,446.27,418.72
2024-12-05,459.76,414.17
2024-12-06,461.08,423.92
2024-12-09,466.87,422.53
2024-12-10,460.57,427.86
2024-12-11,456.17,432.60
2024-12-12,458.95,429.24
2024-12-13,461.98,432.82
2024-12-16,463.01,428.53
2024-12-17,457.24,426.26
2024-12-18,461.19,432.75
2024-12-19,457.65,430.86
2024-12-20,456.32,423.84
2024-12-23,446.86,421.01
2024-12-24,448.65,424.15
2024-12-25,447.36,410.58
2024-12-26,447.33,417.98
2024-12-27,446.75,412.90
2024-12-30,446.60,413.78
2024-12-31,424.38,399.44
2025-01-02,421.84,384.91
2025-01-03,427.96,400.41
2025-01-06,429.88,391.65
2025-01-07,428.39,391.90
2025-01-08,438.11,405.15
2025-01-09,421.56,376.64
2025-01-10,427.81,382.04
2025-01-13,431.62,390.89
2025-01-14,428.84,396.84
2025-01-15,413.16,379.66
2025-01-16,426.16,380.00
2025-01-17,416.66,383.30
2025-01-20,410.89,382.22
2025-01-21,408.28,385.67
2025-01-22,410.04,384.64
2025-01-23,411.44,391.74
2025-01-24,428.93,389.24
2025-01-27,431.40,399.64
2025-02-05,458.29,398.77
2025-02-06,456.71,429.32
2025-02-07,453.36,399.85
2025-02-10,416.21,374.27
2025-02-11,393.58,370.41
2025-02-12,395.29,374.32
2025-02-13,420.05,386.31
2025-02-14,423.55,403.29
2025-02-17,433.12,401.19
2025-02-18,428.87,406.66
2025-02-19,427.87,404.78
2025-02-20,423.55,398.30
2025-02-21,434.77,407.41
2025-02-24,443.92,417.43
2025-02-25,443.30,422.28
2025-02-26,447.30,423.64
2025-02-27,442.40,412.02
2025-02-28,443.73,415.64
2025-03-03,438.45,413.10
2025-03-04,447.92,418.92
2025-03-05,437.18,416.84
2025-03-06,439.87,421.76
2025-03-07,441.68,424.98
2025-03-10,450.09,426.50
2025-03-11,449.61,427.98
2025-03-12,452.63,427.25
2025-03-13,451.54,423.47
2025-03-14,449.68,426.99
2025-03-17,450.55,424.49
2025-03-18,447.77,428.01
2025-03-19,445.74,426.83
2025-03-20,445.90,426.38
2025-03-21,440.79,414.18
2025-03-24,434.36,411.87
2025-03-25,425.65,394.05
2025-03-26,400.64,368.44
2025-03-27,397.05,375.70
2025-03-28,408.22,374.84
2025-03-31,404.66,363.03
2025-04-01,401.14,373.22
2025-04-02,391.52,368.74
2025-04-03,421.48,385.24
2025-04-07,421.48,359.35
2025-04-08,484.13,379.53
2025-04-09,558.46,407.64
2025-04-10,531.70,423.41
2025-04-11,466.41,436.61
2025-04-14,465.24,438.95
2025-04-15,463.94,442.65
2025-04-16,493.06,448.47
2025-04-17,526.09,477.15
2025-04-18,525.87,492.67
2025-04-21,530.14,483.97
2025-04-22,533.62,490.38
2025-04-23,531.34,480.57
2025-04-24,518.95,485.71
2025-04-25,508.15,465.88
2025-04-28,497.21,425.99
2025-04-29,491.37,447.92
2025-04-30,486.28,446.46
2025-05-06,483.91,442.29
2025-05-07,487.14,452.15
2025-05-08,483.33,431.03
2025-05-09,442.47,400.62
2025-05-12,424.21,361.55
2025-05-13,409.31,311.38
2025-05-14,404.29,333.29
2025-05-15,443.04,382.10
2025-05-16,415.39,389.45
2025-05-19,415.53,365.47
2025-05-20,430.54,390.71
2025-05-21,408.83,378.26
2025-05-22,419.18,385.65
